account_id,account_no,account_type,product_name,currency,open_date,close_date,status,interest_rate,customer_id,branch_id
1,00000000001,TABUNGAN,Tabungan Junior,IDR,2015-04-26,,ACTIVE,2.42,1,23
2,00000000002,TABUNGAN,Tabungan Reguler,IDR,2018-08-08,,DORMANT,1.07,2,2
3,00000000003,DEPOSITO,Deposito 6 Bulan,IDR,2021-08-23,,ACTIVE,4.27,3,12
4,00000000004,TABUNGAN,Tabungan Reguler,IDR,2014-03-16,,ACTIVE,0.92,4,2
5,00000000005,DEPOSITO,Deposito 6 Bulan,IDR,2010-04-11,,ACTIVE,3.16,4,2
6,00000000006,DEPOSITO,Deposito 6 Bulan,IDR,2018-03-04,,ACTIVE,2.07,4,2
7,00000000007,TABUNGAN,Tabungan Online,IDR,2016-07-07,,ACTIVE,4.77,5,12
8,00000000008,TABUNGAN,Tabungan Junior,IDR,2019-02-12,,ACTIVE,6.64,6,4
9,00000000009,GIRO,Giro Valas,IDR,2017-01-14,,ACTIVE,3.27,7,17
10,00000000010,DEPOSITO,Deposito 1 Bulan,IDR,2014-03-03,,DORMANT,4.18,8,20
11,00000000011,DEPOSITO,Deposito 6 Bulan,IDR,2020-12-18,,ACTIVE,6.52,8,20
12,00000000012,GIRO,Giro Bisnis,IDR,2014-04-09,,ACTIVE,3.78,9,23
13,00000000013,DEPOSITO,Deposito 12 Bulan,IDR,2015-07-19,,ACTIVE,5.1,10,22
14,00000000014,DEPOSITO,Deposito 1 Bulan,IDR,2017-04-23,,ACTIVE,5.3,11,3
15,00000000015,TABUNGAN,Tabungan Reguler,IDR,2016-03-22,,ACTIVE,3.3,11,3
16,00000000016,DEPOSITO,Deposito 1 Bulan,IDR,2010-08-11,,ACTIVE,5.47,11,3
17,00000000017,TABUNGAN,Tabungan Online,IDR,2019-01-29,,ACTIVE,3.2,12,15
18,00000000018,TABUNGAN,Tabungan Reguler,IDR,2017-06-17,,ACTIVE,1.35,12,15
19,00000000019,TABUNGAN,Tabungan Online,IDR,2014-07-24,,ACTIVE,2.71,13,3
20,00000000020,DEPOSITO,Deposito 1 Bulan,USD,2022-05-28,,ACTIVE,2.63,14,23
21,00000000021,TABUNGAN,Tabungan Reguler,IDR,2014-07-01,,ACTIVE,2.87,15,12
22,00000000022,TABUNGAN,Tabungan Bisnis,IDR,2019-10-24,,ACTIVE,5.39,16,22
23,00000000023,TABUNGAN,Tabungan Junior,IDR,2017-10-31,,ACTIVE,3.41,16,22
24,00000000024,TABUNGAN,Tabungan Online,IDR,2021-12-29,,ACTIVE,5.97,17,23
25,00000000025,TABUNGAN,Tabungan Bisnis,IDR,2020-11-04,,ACTIVE,6.2,18,5
26,00000000026,TABUNGAN,Tabungan Junior,IDR,2012-07-03,,ACTIVE,1.22,18,5
27,00000000027,GIRO,Giro Valas,IDR,2014-04-24,,ACTIVE,3.36,19,8
28,00000000028,DEPOSITO,Deposito 12 Bulan,IDR,2014-07-31,,ACTIVE,7.0,20,11
29,00000000029,TABUNGAN,Tabungan Online,IDR,2014-06-18,,ACTIVE,7.04,21,10
30,00000000030,TABUNGAN,Tabungan Online,IDR,2017-11-06,,ACTIVE,5.77,22,15
31,00000000031,TABUNGAN,Tabungan Online,IDR,2010-01-25,,ACTIVE,2.98,23,25
32,00000000032,TABUNGAN,Tabungan Reguler,IDR,2014-01-05,,ACTIVE,2.74,24,15
33,00000000033,GIRO,Giro Bisnis,IDR,2013-05-24,,ACTIVE,5.99,25,9
34,00000000034,TABUNGAN,Tabungan Reguler,IDR,2021-10-22,2023-06-04,CLOSED,2.5,26,14
35,00000000035,TABUNGAN,Tabungan Bisnis,IDR,2011-05-01,,ACTIVE,3.15,26,14
36,00000000036,TABUNGAN,Tabungan Reguler,IDR,2019-08-09,,ACTIVE,4.91,27,11
37,00000000037,TABUNGAN,Tabungan Reguler,IDR,2015-03-08,,ACTIVE,5.08,28,15
38,00000000038,TABUNGAN,Tabungan Bisnis,IDR,2010-12-11,2017-12-08,CLOSED,0.74,28,15
