customer_id,customer_code,full_name,gender,birth_date,email,phone,segment,job_segment,city,province,registration_date,branch_id,is_active,credit_score,estimated_salary
1,CST000001,Budi Manurung,M,1979-09-04,budimanuru229@yahoo.com,081381960013,RETAIL,PNS,Banjarmasin,Jawa Timur,2015-06-30,23,True,679,29500000
2,CST000002,Putra Nasution,M,1979-12-16,putranasut778@yahoo.com,085754235116,RETAIL,Profesional,Balikpapan,Banten,2010-02-23,2,True,674,10500000
3,CST000003,Rina Siregar,F,1981-04-20,rinasirega907@outlook.com,087831034131,RETAIL,Ibu Rumah Tangga,Manado,Kalimantan Selatan,2023-11-15,12,True,581,16000000
4,CST000004,Sari Harahap,F,1961-05-28,sariharaha651@yahoo.com,087732764835,PRIORITY,PNS,Semarang,Kalimantan Selatan,2023-08-31,2,True,605,20000000
5,CST000005,Hendra Nasution,M,1983-03-26,hendranasu672@mail.com,085772423884,RETAIL,Pelajar/Mahasiswa,Pontianak,Sumatera Selatan,2014-10-08,12,True,470,35500000
6,CST000006,Rina Sihombing,F,1959-03-24,rinasihomb157@yahoo.com,085791669784,VIP,PNS,Cirebon,DI Yogyakarta,2012-06-17,4,True,674,20000000
7,CST000007,Fitri Nugroho,F,1994-01-02,fitrinugro465@gmail.com,085182814893,RETAIL,Karyawan Swasta,Banjarmasin,Kepulauan Riau,2013-07-19,17,False,706,23500000
8,CST000008,Siti Prasetyo,F,1987-07-26,sitipraset246@gmail.com,082291171822,RETAIL,Karyawan Swasta,Makassar,Bali,2016-11-24,20,True,508,37500000
9,CST000009,Xander Nugroho,M,1990-10-18,xandernugr449@icloud.com,085813315098,RETAIL,Wirausaha,Jakarta,Jawa Barat,2018-05-18,23,True,517,7000000
10,CST000010,Cahyo Saputra,M,1961-05-10,cahyosaput244@outlook.com,085838299737,PRIORITY,Wirausaha,Medan,Jawa Barat,2021-07-13,22,True,616,29000000
11,CST000011,Xena Manurung,F,1959-11-11,xenamanuru63@mail.com,085213338726,RETAIL,Ibu Rumah Tangga,Semarang,Kalimantan Selatan,2012-03-17,3,True,841,38000000
12,CST000012,Agus Simanjuntak,M,2003-07-01,agussimanj993@gmail.com,082226773602,RETAIL,Pelajar/Mahasiswa,Makassar,Kepulauan Riau,2010-05-01,15,True,756,49500000
13,CST000013,Ayu Wibowo,F,1981-08-14,ayuwibowo992@gmail.com,087880500978,PRIORITY,Karyawan Swasta,Surabaya,Bali,2014-11-19,3,True,435,41000000
14,CST000014,Wahyu Permata,M,1976-02-07,wahyuperma123@icloud.com,082299091699,RETAIL,Pensiunan,Depok,Kalimantan Timur,2019-01-21,23,True,535,28000000
15,CST000015,Wahyu Simanjuntak,M,1981-11-30,wahyusiman324@gmail.com,081279911838,RETAIL,Profesional,Bandung,Jawa Timur,2020-04-03,12,True,624,37500000
16,CST000016,Putri Lestari,F,2002-06-15,putrilesta684@icloud.com,085112411824,RETAIL,Wirausaha,Bogor,Jawa Timur,2010-03-06,22,True,535,35000000
17,CST000017,Eka Safitri,F,1959-07-23,ekasafitri650@mail.com,085100524278,RETAIL,PNS,Medan,Jawa Barat,2012-01-27,23,False,679,5000000
